Year,cattle,goat,chicken,pig,lamb,duck
1961,6321000,23500000,76665000,4400000,10200000,6800000
1962,6434000,23700000,76665000,4365000,11800000,7400000
1963,6610000,24000000,76665000,4325000,11900000,8000000
1964,6680000,24000000,77780000,4300000,12100000,8600000
1965,6860000,24000000,78890000,4250000,12200000,9200000
1966,7000000,24200000,80000000,4230000,12220000,9800000
1967,7230000,24200000,82220000,4510000,12230000,9700000
1968,7420000,24200000,84445000,4750000,12200000,9600000
1969,7600000,24200000,87780000,4730000,12000000,9500000
1970,7800000,24200000,90000000,4980000,11900000,9400000
1971,8000000,24400000,92220000,5555000,11500000,9300000
1972,8000000,24600000,93330000,5860000,11000000,9100000
1973,8200000,24800000,94440000,5865000,11100000,9300000
1974,8390000,25100000,95550000,6035000,11200000,9500000
1975,8613000,26150000,97800000,6120000,11350000,9700000
1976,8837000,26730000,100000000,6215000,11400000,9900000
1977,9014000,27360000,100000000,6425000,11450000,10200000
1978,9100000,28280000,103500000,6720000,11820000,11700000
1979,9399000,29250000,112000000,7140000,12200000,13200000
1980,9698000,30240000,125600000,7470000,12820000,14700000
1981,9812000,31260000,133500000,7970000,13230000,16200000
1982,10490000,32400000,144500000,8460000,15800000,18000000
1983,10659000,33500000,152000000,8570000,15300000,19000000
1984,10734000,34630000,166700000,8695000,14900000,20200000
1985,10400000,35810000,179000000,10300000,14600000,21400000
1986,10310000,37030000,200000000,10400000,14400000,22600000
1987,10980000,41900000,307500000,10500000,14200000,23800000
1988,10917000,42300000,314000000,10900000,14500000,23500000
1989,10851000,42700000,350000000,11300000,14800000,23200000
1990,10297000,43000000,402000000,11800000,15100000,22900000
1991,14165049,43400000,548000000,12200000,15400000,22600000
1992,13407767,43800000,568000000,12700000,15700000,22400000
1993,9174757,44300000,641000000,12800000,16100000,24200000
1994,9951456,44900000,657000000,12900000,16500000,26000000
1995,10679612,45500000,673000000,13000000,16900000,28100000
1996,8737864,46000000,690000000,13100000,17300000,30300000
1997,10679612,46600000,694000000,13190000,17820000,31000000
1998,13106796,46700000,735000000,13240000,18000000,31000000
1999,14077670,46800000,778000000,13278000,18200000,31000000
2000,14805825,46900000,860000000,13310000,18400000,30800000
2001,16019417,47000000,911000000,13348000,18600000,30700000
2002,17572816,47140000,964000000,13388000,18800000,30600000
2003,19029126,47250000,1052000000,13426000,19100000,30000000
2004,21067960,48700000,1134000000,12700000,19800000,30000000
2005,21601942,50200000,1222000000,12150000,20500000,29000000
2006,23786408,51780000,1320000000,11569000,21290000,28500000
2007,24174756,53380000,1474397000,11000000,22083000,28000000
2008,26213592,53000000,1599129000,10900000,21800000,27000000
2009,28640776,52500000,1740431000,10800000,21400000,26000000
2010,30339806,52200000,1816848000,10600000,21000000,25500000
2011,32116504,51700000,1860000000,10400000,20620000,25000000
2012,33893204,51300000,2161055000,10200000,20170000,24000000
2013,36893204,50900000,2019410000,10100000,19800000,23000000
2014,38834952,50500000,2373071000,10000000,19600000,22200000
2015,39611652,52124304,2394703000,10333836,20701794,24982000
2016,40485440,53099196,2429198000,10490465,21525636,27787000
2017,41067960,53589412,2504019000,10903060,22062856,29938000
2018,41165048,54302096,2624948000,10734890,22551636,31918000
2019,41456312,54981688,2733335000,10125491,23015262,33790000
2020,36504856,55547064,2839116000,9346278,23433066,35626000
2021,40728156,54775588,2732466000,9149332,23029292,33800000
